Date,Nappali,Garazs
07/01/2022 07:05:49,23.95,16.88
07/01/2022 07:11:46,23.89,16.86
07/01/2022 07:17:39,23.84,16.88
07/01/2022 07:23:37,23.85,16.8
07/01/2022 07:29:43,23.75,16.82
07/01/2022 07:35:34,23.74,16.8
07/01/2022 07:41:32,23.74,16.8
07/01/2022 14:03:20,23.84,0
07/01/2022 14:09:06,23.93,17.53
07/01/2022 14:14:54,23.97,17.86
07/01/2022 14:23:35,24.08,19.14
07/01/2022 14:29:26,24.11,19.42
07/01/2022 14:35:22,24.14,19.78
07/01/2022 14:41:24,24.18,20
07/01/2022 15:16:47,24.18,18.5
07/01/2022 15:21:32,24.11,18.42
07/01/2022 15:27:18,24.1,18.29
07/01/2022 15:33:06,24.08,18.29
07/01/2022 15:38:44,24.02,18.19
07/01/2022 15:44:29,23.99,18.12
07/01/2022 15:50:02,24,18.06
07/01/2022 15:55:41,24,17.97
07/01/2022 16:01:32,23.97,17.92
07/01/2022 16:07:12,23.95,17.92
07/01/2022 16:11:45,23.95,17.83
07/01/2022 16:17:36,23.95,17.86
07/01/2022 16:23:26,23.95,17.85
07/01/2022 16:25:41,23.92,17.85
07/01/2022 16:31:47,23.91,17.78
07/01/2022 16:37:49,23.89,17.74
07/01/2022 16:43:47,23.88,17.73
07/01/2022 16:49:44,23.84,17.66
07/01/2022 16:55:41,23.83,17.61
07/01/2022 17:01:43,23.78,17.6
07/01/2022 17:07:41,23.86,17.56
07/01/2022 17:13:42,23.81,17.51
07/01/2022 17:19:46,23.87,17.51
07/01/2022 17:25:54,23.89,17.51
07/01/2022 17:31:51,23.92,17.46
07/01/2022 17:37:40,23.93,17.43
07/01/2022 17:43:34,23.95,17.47
07/01/2022 17:49:37,23.96,17.38
07/01/2022 17:55:44,23.93,17.33
07/01/2022 18:01:37,23.92,17.31
07/01/2022 18:07:31,23.87,17.27
07/01/2022 18:13:35,23.8,17.27
07/01/2022 18:19:29,23.74,17.25
07/01/2022 18:25:32,23.69,17.25
07/01/2022 18:31:32,23.69,17.22
07/01/2022 18:37:22,23.68,17.18
07/01/2022 18:43:18,23.66,17.16
07/01/2022 18:49:20,23.62,17.13
07/01/2022 18:55:23,23.64,17.12
07/01/2022 19:01:18,23.6,17.08
07/01/2022 19:07:17,23.58,17.06
07/01/2022 19:13:25,23.56,17.05
07/01/2022 19:19:28,23.6,17.01
07/01/2022 19:26:22,23.57,17.02
07/01/2022 19:32:23,23.63,17.03
07/01/2022 19:38:18,23.6,17.14
07/01/2022 19:44:07,23.63,17.2
07/01/2022 19:49:55,23.67,17.21
07/01/2022 19:56:03,23.65,17.13
07/01/2022 20:02:08,23.75,17.1
07/01/2022 20:08:03,23.77,17.04
07/01/2022 20:13:53,23.77,17.02
07/01/2022 20:19:56,23.74,16.99
07/01/2022 20:26:00,23.73,16.97
07/01/2022 20:31:53,23.68,16.95
07/01/2022 20:37:51,23.67,16.91
07/01/2022 20:43:40,23.66,16.89
07/01/2022 20:49:42,23.78,16.81
07/01/2022 20:55:45,23.79,16.81
07/01/2022 21:01:53,23.79,16.77
07/01/2022 21:07:45,23.78,16.76
07/01/2022 21:13:45,23.8,16.76
07/01/2022 21:19:30,23.78,16.72
07/01/2022 21:25:37,23.72,16.7
07/01/2022 21:31:40,23.72,16.69
07/01/2022 21:37:28,23.76,16.67
07/01/2022 21:43:38,23.72,16.65
07/01/2022 21:49:25,23.7,16.62
07/01/2022 21:55:22,23.7,16.57
07/01/2022 22:01:19,23.67,16.56
07/01/2022 22:07:15,23.66,16.53
07/01/2022 22:12:59,23.6,16.51
07/01/2022 22:18:53,23.62,16.44
07/01/2022 22:24:52,23.6,16.45
07/01/2022 22:30:52,23.59,16.41
07/01/2022 22:36:50,23.59,16.42
07/01/2022 22:43:04,23.56,16.39
07/01/2022 22:49:03,23.51,16.37
07/01/2022 22:54:56,23.51,16.3
07/01/2022 23:00:52,23.49,16.3
07/01/2022 23:06:47,23.46,16.29
07/01/2022 23:12:42,23.5,16.27
07/01/2022 23:18:39,23.47,16.26
07/01/2022 23:24:26,23.47,16.24
07/01/2022 23:30:17,23.44,16.24
07/01/2022 23:36:25,23.44,16.23
07/01/2022 23:42:24,23.44,16.2
07/01/2022 23:49:12,23.43,16.21
07/01/2022 23:55:09,23.42,16.2
08/01/2022 00:01:05,23.42,16.19
08/01/2022 00:07:00,23.41,16.12
08/01/2022 00:13:03,23.39,16.14
08/01/2022 00:19:05,23.39,16.09
08/01/2022 00:25:03,23.37,16.12
08/01/2022 00:30:51,23.37,16.08
08/01/2022 00:36:50,23.34,16.04
08/01/2022 00:42:43,23.35,16.05
08/01/2022 00:48:40,23.33,16.01
08/01/2022 00:54:33,23.31,16.03
08/01/2022 01:00:30,23.25,16.02
08/01/2022 01:06:32,23.23,16
08/01/2022 01:12:27,23.24,15.97
08/01/2022 01:18:22,23.23,15.99
08/01/2022 01:24:24,23.22,15.96
08/01/2022 01:30:26,23.17,15.93
08/01/2022 01:36:33,23.18,15.91
08/01/2022 01:42:32,23.19,15.92
08/01/2022 01:48:39,23.15,15.95
08/01/2022 01:54:30,23.16,15.97
08/01/2022 02:00:18,23.16,15.97
08/01/2022 02:06:11,23.15,15.98
08/01/2022 02:12:10,23.15,16.03
08/01/2022 02:18:19,23.22,16.02
08/01/2022 02:24:22,23.2,16.07
08/01/2022 02:30:13,23.22,16.08
08/01/2022 02:35:55,23.23,16.1
08/01/2022 02:41:52,23.22,16.16
08/01/2022 02:47:42,23.25,16.18
08/01/2022 02:53:29,23.27,16.19
08/01/2022 02:59:26,23.19,16.22
08/01/2022 03:05:26,23.23,16.25
08/01/2022 03:11:16,23.22,16.24
08/01/2022 03:17:16,23.22,16.28
08/01/2022 03:24:07,23.21,16.31
08/01/2022 03:30:01,23.21,16.34
08/01/2022 03:35:53,23.22,16.34
08/01/2022 03:41:48,23.25,16.41
08/01/2022 03:47:42,23.26,16.47
08/01/2022 03:53:38,23.3,16.5
08/01/2022 03:59:33,23.31,16.53
08/01/2022 04:05:24,23.32,16.57
08/01/2022 04:11:24,23.31,16.6
08/01/2022 04:17:16,23.35,16.62
08/01/2022 04:23:10,23.37,16.68
08/01/2022 04:29:08,23.34,16.72
08/01/2022 04:35:01,23.34,16.74
08/01/2022 04:41:52,23.41,16.77
08/01/2022 04:47:48,23.4,16.81
08/01/2022 04:53:43,23.42,16.84
08/01/2022 04:59:40,23.43,16.91
08/01/2022 05:05:40,23.43,16.93
08/01/2022 05:11:32,23.47,16.91
08/01/2022 05:17:34,23.5,16.96
08/01/2022 05:23:26,23.53,16.97
08/01/2022 05:29:31,23.57,16.96
08/01/2022 05:35:29,23.54,17
08/01/2022 05:41:24,23.55,16.98
08/01/2022 05:47:21,23.54,17
08/01/2022 05:53:22,23.57,16.98
08/01/2022 05:59:11,23.59,16.98
08/01/2022 06:05:06,23.59,17
08/01/2022 06:11:12,23.6,16.96
08/01/2022 06:17:04,23.63,16.98
08/01/2022 06:22:59,23.62,16.96
08/01/2022 06:28:49,23.64,16.96
08/01/2022 06:34:58,23.61,16.94
08/01/2022 06:40:57,23.65,16.93
08/01/2022 06:46:57,23.61,16.9
08/01/2022 06:52:54,23.62,16.89
08/01/2022 06:58:48,23.64,16.87
08/01/2022 07:04:44,23.62,16.89
08/01/2022 07:10:39,23.59,16.85
08/01/2022 07:16:29,23.63,16.83
08/01/2022 07:22:31,23.64,16.9
08/01/2022 07:28:32,23.69,16.89
08/01/2022 07:34:36,23.71,16.85
08/01/2022 07:40:38,23.74,16.82
08/01/2022 07:46:43,23.74,16.81
08/01/2022 07:52:36,23.71,16.84
08/01/2022 07:58:41,23.68,16.85
08/01/2022 08:04:48,23.6,17.06
08/01/2022 08:10:37,23.72,17.1
08/01/2022 08:16:33,23.72,17.08
08/01/2022 08:22:37,23.71,17.13
08/01/2022 08:28:27,23.66,17.07
